key,x,y
00B169,630.5477,4680.0608
00B170,630.6394,4680.0563
00B171,630.5515,4680.167
00B172,628.7958,4679.2456
00B173,628.4555,4679.3227
00B174,628.2424,4679.3202
00B175,628.4193,4679.5943
00B176,627.2546,4679.9161
00B177,630.4614,4681.2659
00B178,630.3402,4680.4495
00B179,630.4512,4680.8149
00B180,629.9789,4680.1432
00B181,630.1949,4679.943
00B182,629.8312,4680.6125
00B183,629.7996,4680.58
00B184,629.7716,4680.535
00B185,630.0065,4680.09
00B186,629.4405,4680.1601
00B187,629.5838,4680.149
00B188,629.3509,4680.3555
00B189,629.3124,4680.2965
00B190,629.0696,4680.376
00B191,629.771,4680.0297
00B192,629.7631,4680.0906
00B193,629.7601,4680.1831
00B194,629.0806,4680.431
00B195,629.0118,4680.4127
00B196,629.0871,4680.2935
00B197,629.8806,4680.6332
00B198,629.5689,4680.5785
00B199,629.5815,4680.6195
00B200,628.9655,4680.4443
00B201,629.1389,4679.9277
00B202,629.0199,4680.0007
00B203,628.9717,4679.9666
00B204,628.9245,4679.9659
00B205,628.806,4680.16
00B206,628.7648,4680.1868
00B207,628.7801,4680.2314
00B208,628.6504,4680.2011
00B209,628.7099,4680.1941
00B210,628.6698,4680.2328
00B211,628.5134,4680.0536
00B212,628.6176,4680.2804
00B213,628.4576,4680.2538
00B214,627.9942,4680.0816
00B215,627.9012,4680.0792
00B216,627.9569,4680.1493
00B217,628.4504,4680.4822
00B218,628.4814,4680.5207
00B219,628.5152,4680.7085
00B220,628.6306,4680.7329
00B221,628.6455,4680.684
00B222,628.5195,4680.6702
00B223,628.0319,4680.8975
00B224,628.0726,4680.9334
00B225,627.9868,4680.8633
00B226,627.9988,4680.9131
00B227,628.0364,4680.8175
00B228,627.9579,4680.9401
00B229,627.5488,4680.6778
00B230,626.8936,4681.1217
00B231,626.8307,4681.0687
00B232,626.8091,4681.3862
00B233,626.9838,4680.464
00B234,630.6179,4683.1531
00B235,629.3496,4680.9639
00B236,629.442,4680.9317
00B237,628.3503,4680.9308
00B238,628.3668,4680.9691
00B239,628.9273,4680.6996
00B240,628.9831,4680.6696
00B241,628.9811,4680.7341
00B242,628.6542,4681.1706
00B243,628.6138,4681.1902
00B244,628.5419,4681.2244
00B245,628.7259,4681.2215
00B246,628.1861,4680.8222
00B247,628.2259,4680.8069
00B248,626.9321,4680.8918
00B249,627.5404,4681.1342
00B250,627.6451,4681.0937
00B251,627.7401,4681.1331
00B252,627.8692,4681.0962
00B253,627.6727,4681.0727
00B254,627.8849,4681.3156
00B255,627.2668,4680.8168
00B256,627.8194,4680.13
00B257,627.4475,4680.1871
00B258,627.3523,4680.1589
00B259,627.3398,4680.0898
00B260,627.2708,4680.2008
00B261,651.9084,4671.1101
00B262,651.8544,4670.9648
00B263,655.7615,4671.7589
00B264,655.9364,4671.7421
00B268,656.4972,4672.0918
00B270,655.2079,4672.8006
00B271,654.8291,4673.1417
00B272,654.9616,4673.2175
00B273,654.9952,4673.2893
00B274,655.0426,4673.3707
00B275,655.7601,4673.5892
00B276,655.1612,4673.5891
00B277,655.2064,4673.6363
00B278,655.2649,4673.691
00B279,655.328,4673.8488
00C001,642.295,4672.7857
00C002,642.0878,4673.2942
00C003,642.1796,4672.9856
00C004,642.1112,4672.9977
00C005,642.0213,4672.8813
00C006,642.1206,4672.8757
00C007,642.0493,4672.8083
00C008,642.5113,4674.1098
00C009,642.163,4674.0514
00C010,641.7021,4673.9463
00C011,641.5262,4673.6477
00C012,641.4669,4673.8499
00C013,641.4435,4673.5132
00C014,641.6682,4673.5122
00C015,641.0083,4673.3059
00C016,640.9453,4673.3203
00C017,640.8955,4673.3733
00C018,640.8458,4673.4263
00C019,639.927,4674.3217
00C020,639.6848,4674.4452
00C021,639.5234,4674.4918
00C022,639.4023,4674.5208
00C023,639.2181,4674.5221
00C024,639.3354,4674.5599
00C025,639.232,4674.6885
00C026,639.3115,4674.6973
00C027,641.3631,4673.349
00C028,643.4378,4672.5681
00C029,643.5119,4672.674
00C030,639.3657,4674.7716
00C031,643.2192,4675.4583
00C032,643.4073,4675.7705
00C033,643.9893,4675.4293
00C034,638.7532,4674.747
00C035,638.5901,4674.7903
00C036,638.4627,4674.8718
00C037,638.3289,4674.9558
00C038,638.8386,4674.8718
00C039,639.1992,4675.263
00C040,638.1995,4675.1604
00C041,638.1617,4675.4981
00C042,637.7994,4675.2621
00C043,637.7344,4675.3283
00C044,637.6457,4675.2858
00C045,637.7257,4675.3845
00C046,637.7269,4675.5143
00C047,637.7494,4675.6079
00C048,637.7456,4675.9629
00C049,637.5608,4675.518
00C050,637.5445,4675.4069
00C051,637.3734,4675.4219
00C052,637.276,4675.4731
00C053,637.281,4675.5193
00C054,637.0311,4675.4656
00C055,636.6293,4675.6468
